uri,album,artist_uri,artist,track,url,popularity,added_at,release_date,release_year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature,genre score,Liked
spotify:track:6cHZf7RbxXCKwEkgAZT4mY,Death Magic Doom,7zDtfSB0AOZWhpuAHZIOw5,Candlemass,Clouds Of Dementia,https://open.spotify.com/track/6cHZf7RbxXCKwEkgAZT4mY,0,2020-03-30T00:39:01Z,2009-04-03,2009,0.162,0.836,9,-3.009,1,0.0473,0.000111,0.00457,0.174,0.3,86.964,audio_features,6cHZf7RbxXCKwEkgAZT4mY,https://api.spotify.com/v1/tracks/6cHZf7RbxXCKwEkgAZT4mY,https://api.spotify.com/v1/audio-analysis/6cHZf7RbxXCKwEkgAZT4mY,338893,4,-46.0,0
spotify:track:0UmXSUCoE2I67n8ERd0Hdi,Live By The Words,07Q9n9pbwR6jQ8xH4SA46b,Justice Crew,Boom Boom,https://open.spotify.com/track/0UmXSUCoE2I67n8ERd0Hdi,53,2020-03-25T19:27:00Z,2012,2012,0.81,0.828,6,-4.14,1,0.117,0.153,1.23e-06,0.0852,0.87,125.921,audio_features,0UmXSUCoE2I67n8ERd0Hdi,https://api.spotify.com/v1/tracks/0UmXSUCoE2I67n8ERd0Hdi,https://api.spotify.com/v1/audio-analysis/0UmXSUCoE2I67n8ERd0Hdi,187027,4,-47.0,0
spotify:track:6uQL0epVs9N9Bergafaf6x,U218 Singles,51Blml2LZPmy7TTiAg47vQ,U2,The Saints Are Coming,https://open.spotify.com/track/6uQL0epVs9N9Bergafaf6x,41,2020-04-02T13:30:46Z,2006-01-01,2006,0.315,0.81,4,-7.026,0,0.0468,0.0781,0.00321,0.152,0.118,152.116,audio_features,6uQL0epVs9N9Bergafaf6x,https://api.spotify.com/v1/tracks/6uQL0epVs9N9Bergafaf6x,https://api.spotify.com/v1/audio-analysis/6uQL0epVs9N9Bergafaf6x,201907,4,-49.0,0
spotify:track:4kZOi9K2i06Syi2DiSfEqT,Rio (Collector's Edition),0lZoBs4Pzo7R89JM9lxwoT,Duran Duran,The Chauffeur - 2009 Remaster,https://open.spotify.com/track/4kZOi9K2i06Syi2DiSfEqT,52,2020-03-09T11:21:23Z,1982-05-10,1982,0.695,0.658,2,-9.174,1,0.0851,0.287,0.000184,0.0467,0.532,82.846,audio_features,4kZOi9K2i06Syi2DiSfEqT,https://api.spotify.com/v1/tracks/4kZOi9K2i06Syi2DiSfEqT,https://api.spotify.com/v1/audio-analysis/4kZOi9K2i06Syi2DiSfEqT,321533,4,-50.0,0
spotify:track:0PgNhIg5n0UAOBVn43b8b6,I'm with You,0L8ExT028jH3ddEcZwqJJ5,Red Hot Chili Peppers,The Adventures of Rain Dance Maggie,https://open.spotify.com/track/0PgNhIg5n0UAOBVn43b8b6,66,2020-06-12T20:23:21Z,2011-08-29,2011,0.683,0.734,4,-4.523,0,0.029,0.00112,0.0139,0.258,0.576,106.254,audio_features,0PgNhIg5n0UAOBVn43b8b6,https://api.spotify.com/v1/tracks/0PgNhIg5n0UAOBVn43b8b6,https://api.spotify.com/v1/audio-analysis/0PgNhIg5n0UAOBVn43b8b6,282400,4,-50.0,0
spotify:track:2SnSo9yC5KWXDEI91NgbZ4,Rio (Collector's Edition),0lZoBs4Pzo7R89JM9lxwoT,Duran Duran,New Religion - 2009 Remaster,https://open.spotify.com/track/2SnSo9yC5KWXDEI91NgbZ4,42,2020-03-09T11:20:46Z,1982-05-10,1982,0.501,0.872,2,-7.88,1,0.113,0.0445,0.0,0.0975,0.45,126.149,audio_features,2SnSo9yC5KWXDEI91NgbZ4,https://api.spotify.com/v1/tracks/2SnSo9yC5KWXDEI91NgbZ4,https://api.spotify.com/v1/audio-analysis/2SnSo9yC5KWXDEI91NgbZ4,332333,4,-50.0,0
spotify:track:0itNMuBHye9fu392b4e9oa,Stadium Arcadium,0L8ExT028jH3ddEcZwqJJ5,Red Hot Chili Peppers,Tell Me Baby,https://open.spotify.com/track/0itNMuBHye9fu392b4e9oa,67,2020-06-10T22:06:29Z,2006-05-09,2006,0.695,0.993,0,-3.114,1,0.0612,0.00177,0.00246,0.0814,0.281,107.951,audio_features,0itNMuBHye9fu392b4e9oa,https://api.spotify.com/v1/tracks/0itNMuBHye9fu392b4e9oa,https://api.spotify.com/v1/audio-analysis/0itNMuBHye9fu392b4e9oa,247667,4,-50.0,0
spotify:track:2sPXJCnKyQ1SWjc2JdFnQK,Steam,1Fj0R2t4HaJa3oUe8azB8R,Ty Herndon,Steam,https://open.spotify.com/track/2sPXJCnKyQ1SWjc2JdFnQK,27,2020-04-06T14:14:30Z,1999-10-20,1999,0.676,0.738,6,-6.693,1,0.0262,0.0497,2.7e-06,0.0784,0.697,101.944,audio_features,2sPXJCnKyQ1SWjc2JdFnQK,https://api.spotify.com/v1/tracks/2sPXJCnKyQ1SWjc2JdFnQK,https://api.spotify.com/v1/audio-analysis/2sPXJCnKyQ1SWjc2JdFnQK,216693,4,-51.0,0
spotify:track:4xWIqUIlfrusaaygS9RQsR,Buddy Jewell,43c94u7flZbHSdDaUuohqS,Buddy Jewell,Help Pour Out the Rain (Lacey's Song),https://open.spotify.com/track/4xWIqUIlfrusaaygS9RQsR,41,2020-04-02T13:39:29Z,2003-07-01,2003,0.565,0.562,0,-7.43,1,0.0339,0.263,0.0,0.0994,0.652,75.035,audio_features,4xWIqUIlfrusaaygS9RQsR,https://api.spotify.com/v1/tracks/4xWIqUIlfrusaaygS9RQsR,https://api.spotify.com/v1/audio-analysis/4xWIqUIlfrusaaygS9RQsR,229093,4,-51.0,0
spotify:track:6muOWhMh7Tf0UFUtMDBhUR,Orphans / Arabesque,4gzpq5DPGxSnKTe4SA8HAU,Coldplay,Orphans,https://open.spotify.com/track/6muOWhMh7Tf0UFUtMDBhUR,68,2019-11-06T02:40:45Z,2019-10-24,2019,0.503,0.808,11,-5.051,0,0.045,0.0254,0.00162,0.557,0.283,107.975,audio_features,6muOWhMh7Tf0UFUtMDBhUR,https://api.spotify.com/v1/tracks/6muOWhMh7Tf0UFUtMDBhUR,https://api.spotify.com/v1/audio-analysis/6muOWhMh7Tf0UFUtMDBhUR,197533,4,-52.0,0
